order_item_id,order_id,order_number,customer_id,product_id,sku,product_name,category,brand,quantity,unit_cost,unit_price,gross_line_amount,discount_percent,line_discount_amount,tax_percent,line_tax_amount,net_line_amount,line_status,fulfillment_center,warehouse_id,return_flag,return_reason,refund_amount,currency,order_date,record_created_timestamp,last_updated_timestamp
OI50254501,502545,ORD502545,100372,1035,SKU-1035,PureLiving Iron Lite,Home Appliances,PureLiving,3,13541.23,16654.82,49964.46,10.00,4996.45,12.00,5396.16,50364.17,Processing,FC-CHE-01,WH-MUM-01,N,,0.00,INR,2026-09-21,2026-09-21 17:23:19,2026-09-21 23:28:19
OI50254502,502545,ORD502545,100372,1039,SKU-1039,ActiveZone Water Bottle Classic,Sports,ActiveZone,2,11248.62,14942.64,29885.28,10.00,2988.53,28.00,7531.09,34427.84,Processing,FC-CHE-01,WH-MUM-01,N,,0.00,INR,2026-09-21,2026-09-21 17:23:19,2026-09-21 23:28:19
OI50254503,502545,ORD502545,100372,1069,SKU-1069,PureLiving Mixer Classic,Home Appliances,PureLiving,2,33987.79,38694.42,77388.84,10.00,7738.88,5.00,3482.50,73132.46,Processing,FC-CHE-01,WH-BLR-01,N,,0.00,INR,2026-09-21,2026-09-21 17:23:19,2026-09-21 23:28:19
OI50254504,502545,ORD502545,100372,1001,SKU-1001,Endura Yoga Mat Plus,Sports,Endura,2,597.30,939.27,1878.54,10.00,187.85,28.00,473.39,2164.08,Processing,FC-CHE-01,WH-DEL-01,N,,0.00,INR,2026-09-21,2026-09-21 17:23:19,2026-09-21 23:28:19
OI50254801,502548,ORD502548,102303,1010,SKU-1010,ModeLine Sandals Eco,Apparel,ModeLine,4,308.79,406.81,1627.24,10.00,162.72,0.00,0.00,1464.52,Pending,FC-DEL-01,WH-MUM-01,N,,0.00,INR,2026-09-21,2026-09-21 06:36:04,2026-09-21 10:39:04
OI50254802,502548,ORD502548,102303,1041,SKU-1041,CarePlus Deodorant Plus,Personal Care,CarePlus,1,1411.56,1985.17,1985.17,10.00,198.52,0.00,0.00,1786.65,Pending,FC-DEL-01,WH-HYD-01,N,,0.00,INR,2026-09-21,2026-09-21 06:36:04,2026-09-21 10:39:04
OI50255101,502551,ORD502551,100938,1016,SKU-1016,WellLife Herbal Drink Pro,Health,WellLife,3,557.08,832.68,2498.04,0.00,0.00,28.00,699.45,3197.49,Pending,FC-MUM-01,WH-HYD-01,N,,0.00,INR,2026-09-21,2026-09-21 13:52:04,2026-09-21 19:02:04
OI50254601,502546,ORD502546,100557,1091,SKU-1091,GoodGrain Juice Premium,Grocery,GoodGrain,3,609.71,828.05,2484.15,15.00,372.62,5.00,105.58,2217.11,Processing,FC-CHE-01,WH-DEL-01,N,,0.00,INR,2026-09-21,2026-09-21 03:01:01,2026-09-21 05:55:01
OI50106301,501063,ORD501063,100326,1129,SKU-1129,DailyHarvest Oats Premium,Grocery,DailyHarvest,1,722.03,829.45,829.45,10.00,82.94,5.00,37.33,783.84,Cancelled,FC-MUM-01,WH-MUM-01,N,,0.00,INR,2025-11-06,2025-11-06 21:22:32,2026-09-21 08:19:58
OI50255301,502553,ORD502553,101521,1068,SKU-1068,DailyHarvest Tea Classic,Grocery,DailyHarvest,4,508.68,595.08,2380.32,10.00,238.03,28.00,599.84,2742.13,Processing,FC-DEL-01,WH-BLR-01,N,,0.00,INR,2026-09-21,2026-09-21 03:54:54,2026-09-21 09:33:54
OI50255601,502556,ORD502556,101753,1102,SKU-1102,StudyPro Folder Standard,Stationery,StudyPro,4,725.82,981.79,3927.16,0.00,0.00,12.00,471.26,4398.42,Processing,FC-HYD-01,WH-BLR-01,N,,0.00,INR,2026-09-21,2026-09-21 11:07:27,2026-09-21 13:57:27
OI50255602,502556,ORD502556,101753,1115,SKU-1115,DailyEase Fan Standard,Home Appliances,DailyEase,4,10507.86,13496.16,53984.64,0.00,0.00,18.00,9717.24,63701.88,Processing,FC-HYD-01,WH-DEL-01,N,,0.00,INR,2026-09-21,2026-09-21 11:07:27,2026-09-21 13:57:27
OI50255603,502556,ORD502556,101753,1171,SKU-1171,ActiveZone Dumbbell Max,Sports,ActiveZone,4,928.87,1476.16,5904.64,0.00,0.00,12.00,708.55,6613.19,Processing,FC-HYD-01,WH-BLR-01,N,,0.00,INR,2026-09-21,2026-09-21 11:07:27,2026-09-21 13:57:27
OI50255401,502554,ORD502554,100902,1109,SKU-1109,PureLiving Mixer Standard,Home Appliances,PureLiving,4,5364.11,7644.03,30576.12,0.00,0.00,12.00,3669.13,34245.25,Cancelled,FC-BLR-01,WH-BLR-01,N,,0.00,INR,2026-09-21,2026-09-21 04:14:58,2026-09-21 07:21:58
OI50255402,502554,ORD502554,100902,1112,SKU-1112,PlayMax Badminton Racket Lite,Sports,PlayMax,2,8271.76,9908.13,19816.26,0.00,0.00,18.00,3566.93,23383.19,Cancelled,FC-BLR-01,WH-DEL-01,N,,0.00,INR,2026-09-21,2026-09-21 04:14:58,2026-09-21 07:21:58
OI50038501,500385,ORD500385,101253,1106,SKU-1106,CottonBay Sneakers Standard,Apparel,CottonBay,1,3341.77,4752.51,4752.51,15.00,712.88,0.00,0.00,4039.63,Delivered,FC-BLR-01,WH-CHE-01,N,,0.00,INR,2026-07-02,2026-07-02 18:59:17,2026-09-21 15:34:28
OI50255501,502555,ORD502555,101321,1150,SKU-1150,FreshSense Soap Classic,Personal Care,FreshSense,2,1570.42,2090.55,4181.10,15.00,627.17,12.00,426.47,3980.40,Shipped,FC-CHE-01,WH-CHE-01,N,,0.00,INR,2026-09-21,2026-09-21 05:53:58,2026-09-21 12:43:58
