order_item_id,order_id,order_number,customer_id,product_id,sku,product_name,category,brand,quantity,unit_cost,unit_price,gross_line_amount,discount_percent,line_discount_amount,tax_percent,line_tax_amount,net_line_amount,line_status,fulfillment_center,warehouse_id,return_flag,return_reason,refund_amount,currency,order_date,record_created_timestamp,last_updated_timestamp
OI50137601,501376,ORD501376,100551,1167,SKU-1167,Stride T-Shirt Classic,Apparel,Stride,4,3386.22,5437.86,21751.44,20.00,4350.29,0.00,0.00,17401.15,Returned,FC-MUM-01,WH-HYD-01,Y,Changed Mind,17401.15,INR,2025-03-06,2025-03-06 20:23:08,2026-09-20 17:12:49
OI50137602,501376,ORD501376,100551,1178,SKU-1178,AeroCool Mixer Plus,Home Appliances,AeroCool,3,5924.87,6915.49,20746.47,20.00,4149.29,28.00,4647.21,21244.39,Returned,FC-MUM-01,WH-CHE-01,Y,Quality Issue,21244.39,INR,2025-03-06,2025-03-06 20:23:08,2026-09-20 17:12:49
OI50137603,501376,ORD501376,100551,1133,SKU-1133,ModeLine Jacket Premium,Apparel,ModeLine,1,2838.21,3271.15,3271.15,20.00,654.23,12.00,314.03,2930.95,Returned,FC-MUM-01,WH-MUM-01,Y,Damaged Item,2930.95,INR,2025-03-06,2025-03-06 20:23:08,2026-09-20 17:12:49
OI50137604,501376,ORD501376,100551,1081,SKU-1081,FarmBasket Coffee Plus,Grocery,FarmBasket,3,112.57,129.07,387.21,20.00,77.44,28.00,86.74,396.51,Returned,FC-MUM-01,WH-HYD-01,Y,Wrong Item,396.51,INR,2025-03-06,2025-03-06 20:23:08,2026-09-20 17:12:49
OI50137605,501376,ORD501376,100551,1124,SKU-1124,PlayMax Cricket Bat Lite,Sports,PlayMax,4,10241.76,15658.53,62634.12,20.00,12526.83,18.00,9019.31,59126.60,Returned,FC-MUM-01,WH-BLR-01,Y,Size or Fit Issue,59126.60,INR,2025-03-06,2025-03-06 20:23:08,2026-09-20 17:12:49
OI50252701,502527,ORD502527,100609,1027,SKU-1027,NutriChoice Rice Pro,Grocery,NutriChoice,3,158.63,218.57,655.71,0.00,0.00,12.00,78.69,734.40,Processing,FC-MUM-01,WH-HYD-01,N,,0.00,INR,2026-09-20,2026-09-20 01:22:43,2026-09-20 08:47:43
OI50252702,502527,ORD502527,100609,1156,SKU-1156,UrbanCare Lotion Lite,Personal Care,UrbanCare,1,1224.36,1884.56,1884.56,0.00,0.00,5.00,94.22,1978.78,Processing,FC-MUM-01,WH-HYD-01,N,,0.00,INR,2026-09-20,2026-09-20 01:22:43,2026-09-20 08:47:43
OI50061301,500613,ORD500613,101980,1044,SKU-1044,ModeLine Sandals Premium,Apparel,ModeLine,4,1837.50,2904.43,11617.72,0.00,0.00,12.00,1394.13,13011.85,Delivered,FC-MUM-01,WH-DEL-01,N,,0.00,INR,2025-03-31,2025-03-31 01:05:30,2026-09-20 14:00:00
OI50253301,502533,ORD502533,102148,1042,SKU-1042,FarmBasket Cereal Max,Grocery,FarmBasket,3,61.23,93.22,279.66,15.00,41.95,18.00,42.79,280.50,Processing,FC-CHE-01,WH-BLR-01,N,,0.00,INR,2026-09-20,2026-09-20 11:31:42,2026-09-20 17:43:42
OI50253302,502533,ORD502533,102148,1112,SKU-1112,PlayMax Badminton Racket Lite,Sports,PlayMax,4,8271.76,9908.13,39632.52,15.00,5944.88,18.00,6063.78,39751.42,Processing,FC-CHE-01,WH-DEL-01,N,,0.00,INR,2026-09-20,2026-09-20 11:31:42,2026-09-20 17:43:42
OI50253303,502533,ORD502533,102148,1076,SKU-1076,TrendHouse T-Shirt Lite,Apparel,TrendHouse,2,1450.31,1762.60,3525.20,15.00,528.78,5.00,149.82,3146.24,Processing,FC-CHE-01,WH-DEL-01,N,,0.00,INR,2026-09-20,2026-09-20 11:31:42,2026-09-20 17:43:42
OI50253304,502533,ORD502533,102148,1142,SKU-1142,AeroCool Vacuum Max,Home Appliances,AeroCool,4,18823.37,22266.26,89065.04,15.00,13359.76,28.00,21197.48,96902.76,Processing,FC-CHE-01,WH-CHE-01,N,,0.00,INR,2026-09-20,2026-09-20 11:31:42,2026-09-20 17:43:42
