order_item_id,order_id,order_number,customer_id,product_id,sku,product_name,category,brand,quantity,unit_cost,unit_price,gross_line_amount,discount_percent,line_discount_amount,tax_percent,line_tax_amount,net_line_amount,line_status,fulfillment_center,warehouse_id,return_flag,return_reason,refund_amount,currency,order_date,record_created_timestamp,last_updated_timestamp
OI50249801,502498,ORD502498,100520,1029,SKU-1029,HealthFirst Herbal Drink Max,Health,HealthFirst,1,1742.78,2662.08,2662.08,0.00,0.00,12.00,319.45,2981.53,Processing,FC-MUM-01,WH-MUM-01,N,,0.00,INR,2026-09-19,2026-09-19 13:50:49,2026-09-19 19:17:49
OI50249802,502498,ORD502498,100520,1179,SKU-1179,GoodGrain Oats Max,Grocery,GoodGrain,4,584.47,868.12,3472.48,0.00,0.00,28.00,972.29,4444.77,Processing,FC-MUM-01,WH-MUM-01,N,,0.00,INR,2026-09-19,2026-09-19 13:50:49,2026-09-19 19:17:49
OI50249803,502498,ORD502498,100520,1153,SKU-1153,WellLife Electrolyte Mix Pro,Health,WellLife,2,1670.85,2057.68,4115.36,0.00,0.00,18.00,740.76,4856.12,Processing,FC-MUM-01,WH-BLR-01,N,,0.00,INR,2026-09-19,2026-09-19 13:50:49,2026-09-19 19:17:49
OI50249804,502498,ORD502498,100520,1041,SKU-1041,CarePlus Deodorant Plus,Personal Care,CarePlus,2,1411.56,1985.17,3970.34,0.00,0.00,0.00,0.01,3970.35,Processing,FC-MUM-01,WH-HYD-01,N,,0.00,INR,2026-09-19,2026-09-19 13:50:49,2026-09-19 19:17:49
OI50250601,502506,ORD502506,102005,1173,SKU-1173,PlayMax Gym Gloves Plus,Sports,PlayMax,3,1482.35,1689.58,5068.74,10.00,506.87,18.00,821.14,5383.01,Pending,FC-CHE-01,WH-MUM-01,N,,0.00,INR,2026-09-19,2026-09-19 20:13:49,2026-09-19 20:46:49
OI50250602,502506,ORD502506,102005,1086,SKU-1086,PaperLine Pencil Set Plus,Stationery,PaperLine,2,1374.88,1702.72,3405.44,10.00,340.54,28.00,858.17,3923.07,Pending,FC-CHE-01,WH-DEL-01,N,,0.00,INR,2026-09-19,2026-09-19 20:13:49,2026-09-19 20:46:49
OI50250603,502506,ORD502506,102005,1045,SKU-1045,ModeLine T-Shirt Eco,Apparel,ModeLine,4,1867.78,2213.12,8852.48,10.00,885.25,12.00,956.07,8923.30,Pending,FC-CHE-01,WH-MUM-01,N,,0.00,INR,2026-09-19,2026-09-19 20:13:49,2026-09-19 20:46:49
OI50250604,502506,ORD502506,102005,1092,SKU-1092,Endura Water Bottle Plus,Sports,Endura,1,9670.27,14058.94,14058.94,10.00,1405.89,18.00,2277.55,14930.60,Pending,FC-CHE-01,WH-CHE-01,N,,0.00,INR,2026-09-19,2026-09-19 20:13:49,2026-09-19 20:46:49
OI50250605,502506,ORD502506,102005,1046,SKU-1046,ByteCraft Charger Lite,Electronics,ByteCraft,4,4132.50,4839.43,19357.72,10.00,1935.78,18.00,3135.94,20557.88,Pending,FC-CHE-01,WH-HYD-01,N,,0.00,INR,2026-09-19,2026-09-19 20:13:49,2026-09-19 20:46:49
OI50250301,502503,ORD502503,101866,1057,SKU-1057,Stride T-Shirt Plus,Apparel,Stride,2,1042.33,1325.91,2651.82,15.00,397.77,5.00,112.70,2366.75,Processing,FC-BLR-01,WH-DEL-01,N,,0.00,INR,2026-09-19,2026-09-19 09:53:33,2026-09-19 10:58:33
OI50250302,502503,ORD502503,101866,1071,SKU-1071,VitaCore Herbal Drink Pro,Health,VitaCore,2,1117.52,1276.96,2553.92,15.00,383.09,28.00,607.83,2778.66,Processing,FC-BLR-01,WH-HYD-01,N,,0.00,INR,2026-09-19,2026-09-19 09:53:33,2026-09-19 10:58:33
OI50250303,502503,ORD502503,101866,1031,SKU-1031,WriteWell Notebook Eco,Stationery,WriteWell,2,1088.30,1438.41,2876.82,15.00,431.52,18.00,440.15,2885.45,Processing,FC-BLR-01,WH-DEL-01,N,,0.00,INR,2026-09-19,2026-09-19 09:53:33,2026-09-19 10:58:33
OI50250304,502503,ORD502503,101866,1103,SKU-1103,NutriChoice Nuts Standard,Grocery,NutriChoice,3,716.78,928.91,2786.73,15.00,418.01,5.00,118.45,2487.17,Processing,FC-BLR-01,WH-HYD-01,N,,0.00,INR,2026-09-19,2026-09-19 09:53:33,2026-09-19 10:58:33
OI50250701,502507,ORD502507,100671,1149,SKU-1149,PixelCore Charger Classic,Electronics,PixelCore,1,20726.11,27082.67,27082.67,0.00,0.00,18.00,4874.88,31957.55,Pending,FC-HYD-01,WH-BLR-01,N,,0.00,INR,2026-09-19,2026-09-19 19:36:08,2026-09-19 22:45:08
OI50250702,502507,ORD502507,100671,1062,SKU-1062,WellLife Hand Sanitizer Classic,Health,WellLife,3,1314.57,1921.78,5765.34,0.00,0.00,0.00,0.00,5765.34,Pending,FC-HYD-01,WH-BLR-01,N,,0.00,INR,2026-09-19,2026-09-19 19:36:08,2026-09-19 22:45:08
OI50250703,502507,ORD502507,100671,1140,SKU-1140,GoodGrain Tea Plus,Grocery,GoodGrain,2,898.45,1049.26,2098.52,0.00,0.00,18.00,377.73,2476.25,Pending,FC-HYD-01,WH-HYD-01,N,,0.00,INR,2026-09-19,2026-09-19 19:36:08,2026-09-19 22:45:08
