order_id,order_number,customer_id,order_date,order_timestamp,sales_channel,order_status,payment_method,payment_status,currency,billing_city,billing_state,shipping_city,shipping_state,shipping_postal_code,fulfillment_center,shipping_method,estimated_delivery_date,actual_delivery_date,item_count,total_quantity,subtotal_amount,discount_amount,tax_amount,shipping_charge,total_order_amount,coupon_code,is_gift,cancellation_reason,last_updated_timestamp
502545,ORD502545,100372,2026-09-21,2026-09-21 17:23:19,Marketplace,Processing,Net Banking,Paid,INR,Warangal,Telangana,Warangal,Telangana,506002,FC-CHE-01,Standard,2026-09-26,,4,9,159117.12,15911.71,16883.14,0.00,160088.55,WELCOME10,N,,2026-09-21 23:28:19
502548,ORD502548,102303,2026-09-21,2026-09-21 06:36:04,Marketplace,Pending,Wallet,Pending,INR,Secunderabad,Telangana,Delhi,Delhi,110017,FC-DEL-01,Standard,2026-09-26,,2,5,3612.41,361.24,0.00,0.00,3251.17,LOYALTY10,N,,2026-09-21 10:39:04
502551,ORD502551,100938,2026-09-21,2026-09-21 13:52:04,Store Assisted,Pending,Net Banking,Pending,INR,Secunderabad,Telangana,Secunderabad,Telangana,500003,FC-MUM-01,Express,2026-09-24,,1,3,2498.04,0.00,699.45,0.00,3197.49,,N,,2026-09-21 19:02:04
502546,ORD502546,100557,2026-09-21,2026-09-21 03:01:01,Marketplace,Processing,UPI,Paid,INR,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,530017,FC-CHE-01,Standard,2026-09-26,,1,3,2484.15,372.62,105.58,0.00,2217.11,FESTIVE15,N,,2026-09-21 05:55:01
501063,ORD501063,100326,2025-11-06,2025-11-06 21:22:32,Marketplace,Cancelled,Debit Card,Voided,INR,Bengaluru,Karnataka,Bengaluru,Karnataka,560037,FC-MUM-01,Same Day,2025-11-06,,1,1,829.45,82.94,37.33,90.00,873.84,LOYALTY10,N,Address Issue,2026-09-21 08:19:58
502553,ORD502553,101521,2026-09-21,2026-09-21 03:54:54,Website,Processing,UPI,Paid,INR,Bengaluru,Karnataka,Bengaluru,Karnataka,560037,FC-DEL-01,Standard,2026-09-26,,1,4,2380.32,238.03,599.84,0.00,2742.13,WELCOME10,N,,2026-09-21 09:33:54
502556,ORD502556,101753,2026-09-21,2026-09-21 11:07:27,Mobile App,Processing,Debit Card,Paid,INR,Warangal,Telangana,Warangal,Telangana,506002,FC-HYD-01,Standard,2026-09-26,,3,12,63816.44,0.00,10897.05,0.00,74713.49,,N,,2026-09-21 13:57:27
502554,ORD502554,100902,2026-09-21,2026-09-21 04:14:58,Website,Cancelled,Credit Card,Voided,INR,Hyderabad,Telangana,Hyderabad,Telangana,500081,FC-BLR-01,Express,2026-09-24,,2,6,50392.38,0.00,7236.06,0.00,57628.44,,Y,Address Issue,2026-09-21 07:21:58
500385,ORD500385,101253,2026-07-02,2026-07-02 18:59:17,Marketplace,Delivered,Debit Card,Paid,INR,Secunderabad,Telangana,Secunderabad,Telangana,500003,FC-BLR-01,Standard,2026-07-07,2026-07-07,1,1,4752.51,712.88,0.00,0.00,4039.63,FESTIVE15,Y,,2026-09-21 15:34:28
502555,ORD502555,101321,2026-09-21,2026-09-21 05:53:58,Mobile App,Shipped,Cash on Delivery,Pending,INR,Chennai,Tamil Nadu,Chennai,Tamil Nadu,600042,FC-CHE-01,Express,2026-09-24,,3,10,30039.78,4505.97,6580.84,0.00,32114.65,FESTIVE15,Y,,2026-09-21 12:43:58
502550,ORD502550,100776,2026-09-21,2026-09-21 13:24:57,Store Assisted,Processing,Wallet,Paid,INR,Secunderabad,Telangana,Mumbai,Maharashtra,400076,FC-BLR-01,Express,2026-09-24,,3,4,4607.83,691.17,312.02,0.00,4228.68,FESTIVE15,N,,2026-09-21 20:14:57
500489,ORD500489,101903,2026-07-07,2026-07-07 14:00:17,Mobile App,Delivered,Credit Card,Paid,INR,Mumbai,Maharashtra,Mumbai,Maharashtra,400076,FC-HYD-01,Standard,2026-07-12,2026-07-13,5,11,89185.81,0.00,23098.19,0.00,112284.00,,N,,2026-09-21 15:57:04
500365,ORD500365,100384,2025-10-16,2025-10-16 04:14:26,Mobile App,Returned,Net Banking,Refunded,INR,Pune,Maharashtra,Pune,Maharashtra,411014,FC-CHE-01,Standard,2025-10-21,2025-10-21,2,6,8284.41,0.00,878.98,0.00,9163.39,,Y,,2026-09-21 13:23:35
502547,ORD502547,102173,2026-09-21,2026-09-21 12:55:55,Website,Processing,UPI,Paid,INR,Chennai,Tamil Nadu,Chennai,Tamil Nadu,600042,FC-BLR-01,Standard,2026-09-26,,5,8,55620.99,11124.20,5191.11,0.00,49687.90,APP20,Y,,2026-09-21 17:38:55
502549,ORD502549,101894,2026-09-21,2026-09-21 19:10:54,Marketplace,Shipped,Net Banking,Paid,INR,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,530017,FC-BLR-01,Express,2026-09-24,,2,5,36232.32,3623.23,1630.45,0.00,34239.54,LOYALTY10,N,,2026-09-21 22:23:54
502552,ORD502552,100420,2026-09-21,2026-09-21 11:52:16,Mobile App,Pending,Wallet,Pending,INR,Chennai,Tamil Nadu,Chennai,Tamil Nadu,600042,FC-DEL-01,Same Day,2026-09-21,,1,4,86599.44,8659.94,0.00,0.00,77939.50,WELCOME10,N,,2026-09-21 16:02:16
