order_id,order_number,customer_id,order_date,order_timestamp,sales_channel,order_status,payment_method,payment_status,currency,billing_city,billing_state,shipping_city,shipping_state,shipping_postal_code,fulfillment_center,shipping_method,estimated_delivery_date,actual_delivery_date,item_count,total_quantity,subtotal_amount,discount_amount,tax_amount,shipping_charge,total_order_amount,coupon_code,is_gift,cancellation_reason,last_updated_timestamp
502410,ORD502410,100667,2026-09-15,2026-09-15 07:37:09,Website,Processing,Debit Card,Paid,INR,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,530017,FC-HYD-01,Standard,2026-09-20,,3,9,99980.08,0.00,18434.37,0.00,118414.45,,N,,2026-09-15 16:05:09
501723,ORD501723,101911,2026-04-11,2026-04-11 09:12:36,Marketplace,Delivered,Debit Card,Paid,INR,Visakhapatnam,Andhra Pradesh,Visakhapatnam,Andhra Pradesh,530017,FC-MUM-01,Standard,2026-04-16,2026-04-15,3,11,16837.64,0.00,2617.70,0.00,19455.34,,Y,,2026-09-15 21:32:16
502417,ORD502417,100324,2026-09-15,2026-09-15 15:39:18,Marketplace,Shipped,Debit Card,Paid,INR,Secunderabad,Telangana,Secunderabad,Telangana,500003,FC-BLR-01,Standard,2026-09-20,,1,2,3362.08,0.00,403.45,0.00,3765.53,,N,,2026-09-15 16:15:18
502412,ORD502412,101056,2026-09-15,2026-09-15 14:43:35,Store Assisted,Processing,UPI,Paid,INR,Mumbai,Maharashtra,Mumbai,Maharashtra,400076,FC-DEL-01,Standard,2026-09-20,,1,2,4214.84,421.48,1062.14,0.00,4855.50,LOYALTY10,Y,,2026-09-15 18:51:35
502401,ORD502401,102004,2026-09-15,2026-09-15 05:45:21,Mobile App,Pending,Credit Card,Pending,INR,Warangal,Telangana,Warangal,Telangana,506002,FC-HYD-01,Standard,2026-09-20,,3,9,149635.90,0.00,16879.95,0.00,166515.85,,N,,2026-09-15 05:45:21
501738,ORD501738,100644,2025-08-08,2025-08-08 01:49:58,Mobile App,Returned,Wallet,Partially Refunded,INR,Warangal,Telangana,Warangal,Telangana,506002,FC-BLR-01,Standard,2025-08-13,2025-08-14,4,12,70491.26,0.00,8974.66,0.00,79465.92,,N,,2026-09-15 14:50:40
502419,ORD502419,100283,2026-09-15,2026-09-15 17:04:00,Mobile App,Processing,Wallet,Pending,INR,Hyderabad,Telangana,Secunderabad,Telangana,500003,FC-BLR-01,Standard,2026-09-20,,5,10,93626.11,0.00,12123.42,0.00,105749.53,,Y,,2026-09-15 23:04:59
502408,ORD502408,100621,2026-09-15,2026-09-15 15:04:26,Mobile App,Processing,Debit Card,Paid,INR,Pune,Maharashtra,Pune,Maharashtra,411014,FC-DEL-01,Standard,2026-09-20,,3,7,6920.23,1384.05,461.73,0.00,5997.91,APP20,N,,2026-09-15 17:47:26
502415,ORD502415,100094,2026-09-15,2026-09-15 12:09:46,Mobile App,Shipped,Wallet,Paid,INR,Hyderabad,Telangana,Hyderabad,Telangana,500081,FC-MUM-01,Standard,2026-09-20,,5,14,111254.03,0.00,19828.72,0.00,131082.75,,Y,,2026-09-15 14:23:46
502407,ORD502407,101925,2026-09-15,2026-09-15 17:25:35,Store Assisted,Shipped,Debit Card,Paid,INR,Bengaluru,Karnataka,Chennai,Tamil Nadu,600042,FC-HYD-01,Express,2026-09-18,,3,6,29389.76,2938.98,3758.33,0.00,30209.11,LOYALTY10,N,,2026-09-15 23:50:59
