product_id,sku,product_name,category,sub_category,brand,supplier_id,supplier_name,warehouse_id,unit_cost,unit_price,stock_quantity,reorder_level,unit_of_measure,currency,manufactured_date,expiry_date,launch_date,country_of_origin,product_status,tax_percent,discount_percent,record_created_timestamp,last_updated_timestamp,source_system
1173,SKU-1173,PlayMax Gym Gloves Plus,Sports,Fitness,PlayMax,501,Apex Supply Co,WH-MUM-01,1505.91,1868.52,459,77,set,INR,2024-12-17,,2025-02-11,Vietnam,Active,18,5,2025-03-27 22:47:00,2026-09-21 10:12:31,SUPPLIER_PORTAL
1225,SKU-1225,DailyEase Iron Standard,Home Appliances,Kitchen Appliances,DailyEase,512,Lotus Distribution,WH-MUM-01,13464.57,15455.30,605,74,piece,INR,2026-05-17,,2026-08-07,Malaysia,Discontinued,5,10,2026-09-21 12:55:17,2026-09-21 13:03:17,SUPPLIER_PORTAL
1188,SKU-1188,TrendHouse T-Shirt Lite,Apparel,Men,TrendHouse,501,Apex Supply Co,WH-MUM-01,1631.18,2205.87,569,42,piece,INR,2026-06-15,,2026-08-23,China,Discontinued,5,10,2026-09-16 11:14:03,2026-09-21 15:47:32,SUPPLIER_PORTAL
1228,SKU-1228,PureLeaf Face Wash Eco,Personal Care,Grooming,PureLeaf,502,BlueRiver Distributors,WH-DEL-01,1382.22,1706.49,105,48,pack,INR,2026-07-09,2028-03-10,2026-08-09,Malaysia,Active,28,5,2026-09-21 07:20:49,2026-09-21 09:49:49,SUPPLIER_PORTAL
1229,SKU-1229,HealthFirst Protein Mix Lite,Health,Wellness,HealthFirst,508,Horizon Distributors,WH-CHE-01,1233.03,1425.07,328,16,bottle,INR,2026-04-10,2027-08-16,2026-08-08,Thailand,Active,12,20,2026-09-21 20:47:42,2026-09-21 23:15:42,WMS_SYNC
1038,SKU-1038,TrendHouse Sports Shoes Standard,Apparel,Women,TrendHouse,502,BlueRiver Distributors,WH-MUM-01,4139.78,4775.55,598,38,piece,INR,2025-06-03,,2025-07-12,South Korea,Discontinued,18,0,2025-07-27 14:53:00,2026-09-21 17:22:31,SUPPLIER_PORTAL
1153,SKU-1153,WellLife Electrolyte Mix Pro,Health,Nutrition,WellLife,511,Keystone Suppliers,WH-BLR-01,1670.85,2057.68,321,60,bottle,INR,2025-11-19,2027-02-06,2025-12-24,Thailand,Out of Stock,18,10,2025-12-31 23:56:00,2026-09-21 12:45:51,WMS_SYNC
1140,SKU-1140,GoodGrain Tea Plus,Grocery,Snacks,GoodGrain,509,Indus Wholesale,WH-HYD-01,957.58,988.69,30,65,litre,INR,2026-02-24,2027-12-30,2026-03-02,China,Active,18,15,2026-04-08 08:00:00,2026-09-21 22:19:57,SUPPLIER_PORTAL
1109,SKU-1109,PureLiving Mixer Standard,Home Appliances,Personal Care,PureLiving,502,BlueRiver Distributors,WH-CHE-01,5209.36,7255.07,115,29,piece,INR,2025-05-31,,2025-08-21,Japan,Out of Stock,12,0,2025-08-26 04:30:00,2026-09-21 21:55:11,ERP_PROD
1226,SKU-1226,UrbanCare Toothpaste Eco,Personal Care,Skin Care,UrbanCare,515,Orbit Supply Network,WH-HYD-01,917.67,1140.99,159,86,piece,INR,2026-05-06,2027-02-22,2026-08-09,Indonesia,Seasonal,28,20,2026-09-21 14:26:47,2026-09-21 17:08:47,ERP_PROD
1215,SKU-1215,WellLife Bandage Kit Premium,Health,Daily Care,WellLife,504,Delta Wholesale,WH-BLR-01,1245.15,1495.85,287,84,box,INR,2026-06-26,2027-06-20,2026-08-28,Japan,Active,5,20,2026-09-19 20:31:22,2026-09-21 12:35:40,WMS_SYNC
1069,SKU-1069,PureLiving Mixer Classic,Home Appliances,Kitchen Appliances,PureLiving,515,Orbit Supply Network,WH-HYD-01,33987.79,38694.42,647,87,piece,INR,2025-10-25,,2025-11-02,Vietnam,Active,5,0,2025-11-18 20:17:00,2026-09-21 08:23:17,ERP_PROD
1066,SKU-1066,PlayMax Yoga Mat Max,Sports,Outdoor,PlayMax,505,Evergreen Supplies,WH-CHE-01,596.31,707.25,77,34,pair,INR,2025-08-30,,2025-12-18,South Korea,Out of Stock,0,20,2026-01-15 15:06:00,2026-09-21 11:14:29,SUPPLIER_PORTAL
1230,SKU-1230,HealthFirst Hand Sanitizer Classic,Health,Wellness,HealthFirst,510,Jupiter Trade Links,WH-MUM-01,1247.63,1553.18,103,27,box,INR,2026-04-19,2027-11-09,2026-08-10,Thailand,Seasonal,12,0,2026-09-21 07:26:59,2026-09-21 10:03:59,SUPPLIER_PORTAL
1227,SKU-1227,CareMed Protein Mix Max,Health,Wellness,CareMed,504,Delta Wholesale,WH-MUM-01,1421.14,1748.38,528,47,pack,INR,2026-05-24,2027-10-09,2026-09-02,Malaysia,Active,0,5,2026-09-21 15:42:24,2026-09-21 17:00:24,SUPPLIER_PORTAL
