product_id,sku,product_name,category,sub_category,brand,supplier_id,supplier_name,warehouse_id,unit_cost,unit_price,stock_quantity,reorder_level,unit_of_measure,currency,manufactured_date,expiry_date,launch_date,country_of_origin,product_status,tax_percent,discount_percent,record_created_timestamp,last_updated_timestamp,source_system
1036,SKU-1036,EchoWave Speaker Classic,Electronics,Mobile Accessories,EchoWave,515,Orbit Supply Network,WH-CHE-01,10000.19,13491.25,205,75,piece,INR,2025-01-06,,2025-01-20,Thailand,Active,28,20,2025-01-31 00:42:00,2026-09-22 21:07:42,WMS_SYNC
1216,SKU-1216,ModeLine Hoodie Plus,Apparel,Kids,ModeLine,503,Crestline Traders,WH-CHE-01,937.22,1065.04,334,47,piece,INR,2026-06-26,,2026-08-11,Malaysia,Seasonal,5,25,2026-09-19 16:39:07,2026-09-22 07:32:07,WMS_SYNC
1215,SKU-1215,WellLife Bandage Kit Premium,Health,Daily Care,WellLife,505,Evergreen Supplies,WH-BLR-01,1334.59,1398.33,287,84,box,INR,2026-06-26,2027-06-20,2026-08-28,Japan,Seasonal,5,20,2026-09-19 20:31:22,2026-09-22 12:37:20,SUPPLIER_PORTAL
1233,SKU-1233,NutriChoice Cereal Lite,Grocery,Breakfast,NutriChoice,505,Evergreen Supplies,WH-MUM-01,768.97,939.92,215,44,pack,INR,2026-07-26,2026-12-11,2026-09-14,Malaysia,Active,0,0,2026-09-22 08:35:03,2026-09-22 10:20:03,WMS_SYNC
1046,SKU-1046,ByteCraft Charger Lite,Electronics,Mobile Accessories,ByteCraft,511,Keystone Suppliers,WH-CHE-01,4132.50,4839.43,642,21,piece,INR,2025-05-06,,2025-05-14,Vietnam,Seasonal,18,0,2025-05-25 12:17:00,2026-09-22 10:00:28,SUPPLIER_PORTAL
1014,SKU-1014,NovaTech Charger Max,Electronics,Computer Accessories,NovaTech,505,Evergreen Supplies,WH-MUM-01,13296.38,17613.40,440,51,piece,INR,2026-01-22,,2026-02-20,Vietnam,Active,12,0,2026-03-19 19:16:00,2026-09-22 18:17:47,WMS_SYNC
1236,SKU-1236,Sportiva Football Plus,Sports,Accessories,Sportiva,505,Evergreen Supplies,WH-MUM-01,14910.87,17177.86,264,57,pair,INR,2026-07-16,,2026-09-09,Thailand,Active,28,20,2026-09-22 19:34:37,2026-09-22 20:10:37,ERP_PROD
1136,SKU-1136,DailyHarvest Juice Premium,Grocery,Beverages,DailyHarvest,504,Delta Wholesale,WH-BLR-01,579.77,843.55,458,73,litre,INR,2025-11-23,2027-05-29,2026-01-16,Malaysia,Discontinued,5,15,2026-01-21 08:25:00,2026-09-22 11:22:39,ERP_PROD
1229,SKU-1229,HealthFirst Protein Mix Lite,Health,Wellness,HealthFirst,512,Lotus Distribution,WH-CHE-01,1233.03,1425.07,328,16,bottle,INR,2026-04-10,2027-08-16,2026-08-08,Thailand,Seasonal,12,20,2026-09-21 20:47:42,2026-09-22 14:24:47,SUPPLIER_PORTAL
1108,SKU-1108,AeroCool Fan Premium,Home Appliances,Cooling,AeroCool,505,Evergreen Supplies,WH-CHE-01,33661.31,42446.52,668,36,piece,INR,2026-04-06,,2026-07-08,Japan,Out of Stock,18,5,2026-07-14 10:04:00,2026-09-22 21:11:08,SUPPLIER_PORTAL
1239,SKU-1239,EchoWave Mouse Eco,Electronics,Mobile Accessories,EchoWave,505,Evergreen Supplies,WH-CHE-01,20768.21,30668.14,141,39,piece,INR,2026-07-11,,2026-08-28,Japan,Seasonal,5,10,2026-09-22 20:44:50,2026-09-22 23:42:50,ERP_PROD
1103,SKU-1103,NutriChoice Nuts Standard,Grocery,Snacks,NutriChoice,502,BlueRiver Distributors,WH-HYD-01,716.78,928.91,188,54,kg,INR,2025-10-25,2026-06-07,2025-11-23,India,Discontinued,5,0,2025-11-30 14:19:00,2026-09-09 18:02:58,LEGACY_ERP
1021,SKU-1021,Stride Hoodie Plus,Apparel,Men,Stride,506,Fusion Commerce,WH-HYD-01,2669.57,4218.21,600,69,piece,INR,2025-12-20,,2026-04-02,Malaysia,Active,12,0,2026-04-29 04:01:00,2026-09-22 16:38:51,SUPPLIER_PORTAL
1209,SKU-1209,FreshSense Toothpaste Classic,Personal Care,Hygiene,FreshSense,514,Nexus Traders,WH-HYD-01,488.16,670.33,228,41,piece,INR,2026-07-18,2028-01-24,2026-09-14,South Korea,Active,18,0,2026-09-18 18:45:41,2026-09-22 20:39:11,SUPPLIER_PORTAL
1089,SKU-1089,GlowNest Serum Lite,Personal Care,Grooming,GlowNest,510,Jupiter Trade Links,WH-CHE-01,1309.45,2044.10,341,88,pack,INR,2025-05-22,2026-08-16,2025-07-16,Vietnam,Out of Stock,5,20,2025-07-25 17:12:00,2026-09-22 18:33:34,WMS_SYNC
1234,SKU-1234,TrendHouse Sneakers Lite,Apparel,Men,TrendHouse,508,Horizon Distributors,WH-BLR-01,2777.64,3837.49,84,82,pair,INR,2026-08-01,,2026-09-15,Vietnam,Active,5,0,2026-09-22 11:55:56,2026-09-22 14:03:56,ERP_PROD
