product_id,sku,product_name,category,sub_category,brand,supplier_id,supplier_name,warehouse_id,unit_cost,unit_price,stock_quantity,reorder_level,unit_of_measure,currency,manufactured_date,expiry_date,launch_date,country_of_origin,product_status,tax_percent,discount_percent,record_created_timestamp,last_updated_timestamp,source_system
1038,SKU-1038,TrendHouse Sports Shoes Standard,Apparel,Women,TrendHouse,502,BlueRiver Distributors,WH-BLR-01,4139.78,4775.55,214,38,piece,INR,2025-06-03,,2025-07-12,South Korea,Active,18,0,2025-07-27 14:53:00,2026-09-18 10:32:45,SUPPLIER_PORTAL
1205,SKU-1205,VoltEdge Adapter Max,Electronics,Mobile Accessories,VoltEdge,510,Jupiter Trade Links,WH-DEL-01,20784.91,30613.38,511,51,piece,INR,2026-07-05,,2026-08-05,Malaysia,Active,0,15,2026-09-18 18:00:38,2026-09-18 20:08:38,ERP_PROD
1211,SKU-1211,WriteWell Marker Eco,Stationery,Art Supplies,WriteWell,513,MetroSource India,WH-MUM-01,764.89,1076.65,343,18,piece,INR,2026-06-22,,2026-08-15,Japan,Active,28,5,2026-09-18 18:38:00,2026-09-18 20:13:00,SUPPLIER_PORTAL
1109,SKU-1109,PureLiving Mixer Standard,Home Appliances,Personal Care,PureLiving,514,Nexus Traders,WH-CHE-01,5209.36,7255.07,115,29,piece,INR,2025-05-31,,2025-08-21,Japan,Seasonal,12,0,2025-08-26 04:30:00,2026-09-18 15:16:38,WMS_SYNC
1077,SKU-1077,DailyHarvest Juice Plus,Grocery,Breakfast,DailyHarvest,514,Nexus Traders,WH-HYD-01,525.14,685.34,54,86,pack,INR,2025-02-13,2025-10-16,2025-03-12,Malaysia,Active,12,5,2025-03-20 15:47:00,2026-09-18 08:47:30,SUPPLIER_PORTAL
1123,SKU-1123,DailyEase Fan Premium,Home Appliances,Kitchen Appliances,DailyEase,506,Fusion Commerce,WH-BLR-01,12600.37,17069.92,23,54,piece,INR,2026-04-22,,2026-06-24,India,Active,28,5,2026-06-25 14:28:00,2026-09-18 21:08:33,WMS_SYNC
1204,SKU-1204,HealthFirst Vitamin Tablets Plus,Health,Wellness,HealthFirst,502,BlueRiver Distributors,WH-MUM-01,795.04,934.52,338,41,bottle,INR,2026-04-30,2027-03-18,2026-08-21,Japan,Active,0,20,2026-09-18 09:18:45,2026-09-18 11:07:45,SUPPLIER_PORTAL
1066,SKU-1066,PlayMax Yoga Mat Max,Sports,Outdoor,PlayMax,505,Evergreen Supplies,WH-HYD-01,596.31,707.25,77,34,pair,INR,2025-08-30,,2025-12-18,South Korea,Discontinued,0,15,2026-01-15 15:06:00,2026-09-18 19:16:42,SUPPLIER_PORTAL
1206,SKU-1206,HomePro Fan Max,Home Appliances,Personal Care,HomePro,507,GlobalMart Supply,WH-BLR-01,21699.09,27235.73,360,62,piece,INR,2026-07-01,,2026-08-28,South Korea,Active,5,10,2026-09-18 06:18:36,2026-09-18 06:24:36,SUPPLIER_PORTAL
1202,SKU-1202,ByteCraft Speaker Max,Electronics,Home Electronics,ByteCraft,512,Lotus Distribution,WH-HYD-01,20795.61,24994.53,289,84,piece,INR,2026-08-10,,2026-08-25,South Korea,Active,28,5,2026-09-18 20:55:06,2026-09-18 22:36:06,ERP_PROD
1086,SKU-1086,PaperLine Pencil Set Plus,Stationery,Writing,PaperLine,510,Jupiter Trade Links,WH-DEL-01,1318.89,1868.33,410,32,piece,INR,2025-02-23,,2025-06-02,India,Seasonal,28,25,2025-06-22 20:32:00,2026-09-18 19:40:55,ERP_PROD
1186,SKU-1186,PixelCore Keyboard Max,Electronics,Home Electronics,PixelCore,508,Horizon Distributors,WH-HYD-01,5866.33,6223.51,155,32,piece,INR,2026-06-27,,2026-08-25,Japan,Seasonal,5,5,2026-09-16 10:20:54,2026-09-18 16:50:12,ERP_PROD
1112,SKU-1112,PlayMax Badminton Racket Lite,Sports,Accessories,PlayMax,503,Crestline Traders,WH-DEL-01,8271.76,9908.13,628,85,piece,INR,2026-02-27,,2026-05-28,India,Seasonal,18,0,2026-06-13 19:01:00,2026-09-18 12:22:43,ERP_PROD
1095,SKU-1095,PaperLine Folder Standard,Stationery,Writing,PaperLine,503,Crestline Traders,WH-CHE-01,141.07,215.25,247,40,pack,INR,2025-10-16,,2026-02-12,India,Seasonal,0,0,2026-02-15 16:50:00,2026-09-18 22:31:25,ERP_PROD
1209,SKU-1209,FreshSense Toothpaste Classic,Personal Care,Hygiene,FreshSense,514,Nexus Traders,WH-HYD-01,488.16,670.33,247,41,piece,INR,2026-07-18,2028-01-24,2026-09-14,South Korea,Active,18,0,2026-09-18 18:45:41,2026-09-18 21:42:41,WMS_SYNC
1207,SKU-1207,PureLeaf Deodorant Plus,Personal Care,Hair Care,PureLeaf,510,Jupiter Trade Links,WH-HYD-01,466.47,602.44,139,29,piece,INR,2026-07-30,2028-07-11,2026-09-06,India,Active,5,0,2026-09-18 10:19:49,2026-09-18 13:11:49,ERP_PROD
1167,SKU-1167,Stride T-Shirt Classic,Apparel,Footwear,Stride,507,GlobalMart Supply,WH-CHE-01,3386.22,5437.86,225,15,pair,INR,2025-11-08,,2025-12-15,South Korea,Active,0,15,2026-01-25 06:46:00,2026-09-18 11:22:06,ERP_PROD
1142,SKU-1142,AeroCool Vacuum Max,Home Appliances,Cooling,AeroCool,509,Indus Wholesale,WH-CHE-01,18823.37,22266.26,185,60,piece,INR,2025-08-04,,2025-08-11,Thailand,Seasonal,28,0,2025-09-25 21:02:00,2026-09-18 11:07:39,ERP_PROD
